timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
2017/03/13 15:14:08,1380,Go to demo.hub3c.com A,200,OK,userGroup 1-54,text,true,,5073,183,365,365,https://demo.hub3c.com/,1380,1,0,0,603
2017/03/13 15:14:08,1390,Go to demo.hub3c.com A,200,OK,userGroup 1-48,text,true,,5073,183,365,365,https://demo.hub3c.com/,1390,1,0,0,636
2017/03/13 15:14:08,1403,Go to demo.hub3c.com A,200,OK,userGroup 1-39,text,true,,5073,183,365,365,https://demo.hub3c.com/,1403,1,0,0,640
2017/03/13 15:14:08,1397,Go to demo.hub3c.com A,200,OK,userGroup 1-46,text,true,,5073,183,365,365,https://demo.hub3c.com/,1397,1,0,0,638
2017/03/13 15:14:08,1408,Go to demo.hub3c.com A,200,OK,userGroup 1-58,text,true,,5073,183,365,365,https://demo.hub3c.com/,1408,1,0,0,621
2017/03/13 15:14:08,1454,Go to demo.hub3c.com A,200,OK,userGroup 1-71,text,true,,5073,183,365,365,https://demo.hub3c.com/,1454,1,0,0,578
2017/03/13 15:14:08,1391,Go to demo.hub3c.com A,200,OK,userGroup 1-108,text,true,,5073,183,365,365,https://demo.hub3c.com/,1391,1,0,0,534
2017/03/13 15:14:08,1462,Go to demo.hub3c.com A,200,OK,userGroup 1-99,text,true,,5073,183,376,376,https://demo.hub3c.com/,1462,1,0,0,568
2017/03/13 15:14:08,1744,Go to demo.hub3c.com A,200,OK,userGroup 1-47,text,true,,5073,183,427,427,https://demo.hub3c.com/,1744,1,0,0,633
2017/03/13 15:14:08,1920,Go to demo.hub3c.com A,200,OK,userGroup 1-77,text,true,,5073,183,475,475,https://demo.hub3c.com/,1920,1,0,0,573
2017/03/13 15:14:08,5458,Go to demo.hub3c.com A,200,OK,userGroup 1-102,text,true,,5073,183,999,999,https://demo.hub3c.com/,5458,1,0,0,582
2017/03/13 15:14:08,5433,Go to demo.hub3c.com A,200,OK,userGroup 1-113,text,true,,5073,183,999,999,https://demo.hub3c.com/,5433,1,0,0,557
2017/03/13 15:14:08,6410,Go to demo.hub3c.com A,200,OK,userGroup 1-127,text,true,,5073,183,999,999,https://demo.hub3c.com/,6410,1,0,0,566
2017/03/13 15:14:08,7421,Go to demo.hub3c.com A,200,OK,userGroup 1-119,text,true,,5073,183,999,999,https://demo.hub3c.com/,7420,1,0,0,582
2017/03/13 15:14:08,10435,Go to demo.hub3c.com A,200,OK,userGroup 1-116,text,true,,5073,183,999,999,https://demo.hub3c.com/,10435,1,0,0,626
2017/03/13 15:14:08,10420,Go to demo.hub3c.com A,200,OK,userGroup 1-118,text,true,,5073,183,999,999,https://demo.hub3c.com/,10420,1,0,0,610
2017/03/13 15:14:08,10438,Go to demo.hub3c.com A,200,OK,userGroup 1-110,text,true,,5073,183,999,999,https://demo.hub3c.com/,10438,1,0,0,623
2017/03/13 15:14:08,10882,Go to demo.hub3c.com A,200,OK,userGroup 1-120,text,true,,5073,183,999,999,https://demo.hub3c.com/,10882,1,0,0,588
2017/03/13 15:14:08,12409,Go to demo.hub3c.com A,200,OK,userGroup 1-122,text,true,,5073,183,999,999,https://demo.hub3c.com/,12409,1,0,0,607
